,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,Random,Heuristic,CAEBOriginal,CAEB,CAE,CAESL,CAEDL,CAESDL
682,23.0,25.0,3.0,1.0,2.0,0.0,0.0,0.46519216869184554,0.24112986682783175,0.6040121399488668,0.5397594711988862,0.6169047104812371,0.5721464274493503,0.6201019448766514,0.6283147983360974
683,23.0,25.0,3.0,1.0,5.0,0.0,0.0,0.4377460878607935,0.3346874912087881,0.526828854379746,0.4919957065962149,0.5777395705189019,0.5199122457855025,0.5522623672574322,0.5813795577530221
684,23.0,25.0,3.0,1.0,4.0,0.0,0.0,0.4904704681629645,0.4124061705193292,0.5780253116918942,0.5525333921613655,0.6199061129984791,0.5620837519210518,0.6012875607161484,0.6112210804717352
685,24.0,25.0,6.0,16.0,13.0,0.0,0.0,0.6448359498109938,0.16753248794124753,0.1803274409049116,0.10582796812749515,0.07953825137346987,0.06728818171946155,0.1788963679738854,0.16636779457591414
686,24.0,25.0,6.0,16.0,12.0,0.0,0.0,0.46206105322046026,0.19560140180921912,0.23648304023867087,0.16390451579707635,0.15560858514445894,0.13990775831574884,0.20261904910971426,0.15590133376277715
687,24.0,25.0,6.0,16.0,15.0,0.0,0.0,0.49236883097427386,0.15984290056974762,0.30109828901668706,0.21391053084373,0.23800326250345033,0.21011070827793127,0.2882858460736074,0.29545784693474386
688,24.0,25.0,6.0,16.0,14.0,0.0,0.0,0.7080091023667306,0.21627328050372596,0.1927189199191971,0.1784745803231128,0.10229757106713575,0.12184719990509822,0.15191374958760384,0.1606283615907555
689,24.0,25.0,6.0,16.0,17.0,53.0,0.0,0.4666685192605037,0.204280681570858,0.2808199568627029,0.24841858110401135,0.23740344189862117,0.20136842740157898,0.2994311927204863,0.25746943615532025
690,24.0,25.0,6.0,16.0,16.0,0.0,0.0,0.4061175900177995,0.09456974477597462,0.25919344652770077,0.2567358171641167,0.2785698784279693,0.2798353545955972,0.28359882073751136,0.2546749650522222
691,25.0,25.0,11.0,10.0,7.0,0.0,0.0,0.2422618416148559,0.22026670318051747,0.2815590538366691,0.2117492159449177,0.30264795741234657,0.2906170034795283,0.2791112222932384,0.2501465318025026
692,25.0,25.0,11.0,10.0,6.0,0.0,0.0,0.5544363023334461,0.23677213530551364,0.2975022642064076,0.14476491294141294,0.23766016077882182,0.2506944183410896,0.277712852224435,0.25927647792763825
693,25.0,25.0,11.0,10.0,9.0,0.0,0.0,0.7402443066322779,0.24584404857755285,0.2136714489711255,0.14622034272755222,0.23438581276971862,0.18914638631877861,0.21072828210184308,0.16402169618447063
694,25.0,25.0,11.0,10.0,8.0,0.0,0.0,0.4867979737366092,0.29186118409352035,0.3269687776499601,0.21239088074062817,0.31956806148133,0.2973695007176557,0.2709448935282928,0.24067391813393024
695,25.0,25.0,11.0,10.0,11.0,67.0,0.0,0.4626975290653908,0.24908001490888312,0.22352584940842943,0.14930991680264347,0.20098632634631633,0.16729517454910214,0.20560327298285194,0.16398350721204308
696,25.0,25.0,11.0,10.0,10.0,76.0,0.0,0.25571193306004353,0.24174190340002188,0.33713335547954737,0.2140011827562168,0.28092746626491777,0.2930102504088655,0.33553559237510794,0.3025564655847716
697,26.0,21.0,0.0,8.0,7.0,29.0,0.0,0.6360336143539271,0.2547806644543856,0.09919774095987875,0.060928788577295015,0.07902561626631914,0.04585234445207301,0.08385698345951113,0.06683660295777764
698,26.0,21.0,0.0,8.0,6.0,4.0,0.0,0.7698319190244186,0.19993516362662558,0.12114075852371979,0.08024920815772356,0.13409862777532547,0.10278407590388754,0.11102223686402522,0.10649696350976129
699,26.0,21.0,0.0,8.0,9.0,38.0,0.0,0.5240422963281799,0.1728250651806883,0.1286171733563503,0.06678568148427637,0.08328032929435325,0.051377649630479444,0.08491349343922615,0.06069028455255072
700,26.0,21.0,0.0,8.0,8.0,17.0,0.0,0.2514097077539464,0.2111609690588131,0.16791547847792812,0.17427031587615324,0.1906962249004905,0.13312268971254831,0.20346711528473574,0.18555312365229637
701,26.0,21.0,0.0,8.0,11.0,10.0,0.0,0.8144674367552956,0.9594670135851865,0.11748473117519122,0.06857964591532185,0.08644276140832759,0.06613313154406422,0.08330273253971797,0.06384844501637386
702,26.0,21.0,0.0,8.0,10.0,4.0,0.0,0.5886296184380874,0.23766935497668695,0.17948712815030557,0.204629041465623,0.22723490988026235,0.1603301307073069,0.2494853214185775,0.22296873958409189
703,27.0,21.0,6.0,3.0,1.0,9.0,0.0,0.5395200120148796,0.26059489115927076,0.5605731976562386,0.48185771559359664,0.5339319709285066,0.5124099114516345,0.5608224458930786,0.511184808895686
704,27.0,21.0,6.0,3.0,0.0,7.0,0.0,0.34035785375102184,0.1951834927357794,0.5890567229051596,0.524870150941459,0.5264009141049084,0.5371046982602443,0.5417714443284231,0.5164261162103148
705,27.0,21.0,6.0,3.0,3.0,36.0,0.0,0.35783418696668623,0.10520602491467654,0.27879958392182397,0.24664584398731515,0.2521157288885491,0.21819443620790632,0.2917277208075234,0.23759793747757862
706,27.0,21.0,6.0,3.0,2.0,22.0,0.0,0.5630792096832639,0.20733267494134916,0.3942926112333823,0.3855488263801167,0.3916241961861562,0.3167511283975228,0.43457817996914244,0.36068318124472404
707,27.0,21.0,6.0,3.0,5.0,39.0,0.0,0.4929808692546633,0.17521688284645462,0.3886061078471854,0.3960766513706519,0.32572727543302277,0.2765926380324383,0.4125993017302673,0.3370540227919815
708,27.0,21.0,6.0,3.0,4.0,39.0,0.0,0.4065812650663471,0.14479556003142724,0.48069133797212815,0.3449857359754076,0.34977311812739,0.3176040976084333,0.4357294866252982,0.3020400998119064
709,28.0,21.0,4.0,12.0,13.0,69.0,0.0,0.6963491214665055,0.40001670972136816,0.314682611098854,0.27180777436287773,0.27982752760498075,0.33173517907494077,0.3813840423643829,0.38465031806426814
