,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,tim,adib,vae,cvae1,cvae2,cvae3,vaeb,cvae1b,cvae2b,cvae3b
86,14.0,12.0,8.0,4.0,0.0,0.0,0.0,0.5130927153738273,0.5311325676784067,0.47383140349117,0.6529515206060728,0.6466311421143125,0.7091264620118112,0.45480303492714297,0.4925280213581595,0.5258667322495234,0.4906454916358776
87,14.0,12.0,8.0,4.0,3.0,21.0,0.0,0.3611872826632289,0.23741654449746963,0.18988950182980152,0.2334924577234517,0.18817114614372826,0.4182887811871237,0.3240563507722027,0.3861755722954679,0.39916509198003336,0.4271691549598499
88,14.0,12.0,8.0,4.0,2.0,13.0,0.0,0.31801313673732406,0.4050825901287536,0.41036588755267867,0.5684114665000602,0.39047255879982695,0.5670898058596411,0.38891055745031644,0.48399505701357565,0.4705200481714879,0.5791669813550687
89,14.0,12.0,8.0,4.0,5.0,61.0,0.0,0.31042227587447124,0.48790676606864464,0.33809778094377263,0.2865132143442882,0.24200320157399743,0.3466132140705103,0.6802395970408983,0.43030117350836417,0.4580643683158602,0.48128324633141517
90,14.0,12.0,8.0,4.0,4.0,60.0,0.0,0.30634362371497886,0.37194536305336817,0.622079644824227,0.42412957272092805,0.5661189259575626,0.48579108671736265,0.4503035123962277,0.37556401113310106,0.445283024367964,0.4838316820992933
91,15.0,12.0,0.0,8.0,7.0,43.0,0.0,0.3975473968989981,0.10834109466692761,0.2370159416627797,0.34442170771572944,0.3578038915153897,0.4036370888513761,0.13161277782005834,0.26348718624248135,0.27608968660226463,0.3495711876456998
92,15.0,12.0,0.0,8.0,6.0,5.0,0.0,0.36327040123858745,0.14877821609184863,0.3016864441485736,0.3383739059962832,0.42684476153982975,0.36916600392573334,0.16249412516650688,0.2601208107278901,0.27966843733731656,0.3714234192314288
93,15.0,12.0,0.0,8.0,9.0,39.0,0.0,0.17068397538459432,0.13445645131185716,0.24263622653382322,0.3288012704208502,0.21185830592159438,0.36685287538309536,0.13964567863608557,0.18085253890294387,0.22436798446835937,0.24711326399440336
94,15.0,12.0,0.0,8.0,8.0,4.0,0.0,0.41458683566415316,0.15672622646519566,0.4117288991427962,0.3619806073660816,0.4204361238776375,0.5146343613733886,0.3788237609418606,0.44184222210736934,0.43331154483042644,0.42452972009478773
95,15.0,12.0,0.0,8.0,11.0,10.0,0.0,0.3018260953904853,0.14849885938423574,0.31409175451143967,0.3809084347999362,0.33652930329533753,0.4147846825710451,0.15468231645186617,0.21100363658663265,0.2444881237316942,0.2814741830691483
96,15.0,12.0,0.0,8.0,10.0,29.0,0.0,0.3874896019928342,0.17845425481288846,0.43808994048608285,0.3223927513009966,0.3858191050305116,0.40864183821805605,0.4173694474680151,0.38843926055719363,0.4318385898703892,0.3813185192873566
97,16.0,12.0,10.0,2.0,1.0,0.0,0.0,0.9214051859844652,0.2261667515094108,0.4072444572635173,0.457792087497453,0.4237859875143006,0.6012191094093693,0.5138409279543861,0.381524552697232,0.45924183220725306,0.4173433848050699
98,16.0,12.0,10.0,2.0,0.0,0.0,0.0,0.8624813992611223,0.3001482986396402,0.4439567671205128,0.40253408880419206,0.47613106361206936,0.5297215759553472,0.4890141718157622,0.46904514147709564,0.47776080673050714,0.45801047215766205
99,16.0,12.0,10.0,2.0,3.0,58.0,0.0,0.6036687069009334,0.2462264036335158,0.40366666329595213,0.31303454699813277,0.33558302188620576,0.3941630001768384,0.36069540543900125,0.39087186963939946,0.35474743504368095,0.3601414906291821
100,16.0,12.0,10.0,2.0,2.0,44.0,0.0,0.8466099424674256,0.31302100495354657,0.5064864538108383,0.2532867280792263,0.34930279852262075,0.3701937954471761,0.40842044405917527,0.44808333642751996,0.42014434416516755,0.35573290422177894
101,16.0,12.0,10.0,2.0,5.0,17.0,0.0,0.5223059234183751,0.33467974945289164,0.4494422098993672,0.34167476917230044,0.4059644000562142,0.47873411235961705,0.42422893136194967,0.3938160674922019,0.463223239385533,0.4239233860216569
102,16.0,12.0,10.0,2.0,4.0,25.0,0.0,0.637852631446563,0.25835774103704073,0.3265609801070627,0.2953545105667251,0.3096566267970426,0.4448666230195818,0.34776184476085326,0.3530203708185178,0.3653223127131657,0.2951254019715107
103,17.0,12.0,3.0,14.0,13.0,6.0,0.0,0.22993795171413398,0.2561510240229474,0.3808212434617341,0.31345030997425716,0.544658375256093,0.4215841114290383,0.5133104041519387,0.2770057528236863,0.3383262783434325,0.35448830858986813
