,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,Heuristic,CAEB,CAE,CAESL,CAEDL,CAESDL
96,15.0,12.0,0.0,8.0,10.0,29.0,0.0,0.19991136275594065,0.17848921490392086,0.19910788989284992,0.26038650907207245,0.2866933418996834,0.3235202348578061
97,16.0,12.0,10.0,2.0,1.0,0.0,0.0,0.47127204883136153,0.23811352259399093,0.16855286783650983,0.19546910955316196,0.19536434650284337,0.18908035460791017
98,16.0,12.0,10.0,2.0,0.0,0.0,0.0,0.4274668250159235,0.3042270275707151,0.28987471239509066,0.35089990270362587,0.34397291299070815,0.36461230564103997
99,16.0,12.0,10.0,2.0,3.0,58.0,0.0,0.2882437474625736,0.3992626354468215,0.3337203651566302,0.32329014784941756,0.3810493816369711,0.39017327072403746
100,16.0,12.0,10.0,2.0,2.0,44.0,0.0,0.41100756091788915,0.3877493829091413,0.37731748243272906,0.3438243952979574,0.4256952781629565,0.3813465864285615
101,16.0,12.0,10.0,2.0,5.0,17.0,0.0,0.2495823122606923,0.5931228336267326,0.44107734360795803,0.4205936010101048,0.45564084938443145,0.4949238356410325
102,16.0,12.0,10.0,2.0,4.0,25.0,0.0,0.3046921525208207,0.4194950829901295,0.3406352518585028,0.34990146102328057,0.3868421941359725,0.4058608938898773
103,17.0,12.0,3.0,14.0,13.0,6.0,0.0,0.2767044912511355,0.24491329590483563,0.3497592726973769,0.3359492626219419,0.4022574262115649,0.3934943588560929
104,17.0,12.0,3.0,14.0,12.0,46.0,0.0,0.2939719543065981,0.3158175092892672,0.3735722916233208,0.36564818687344003,0.4701292715601252,0.4174632418289347
105,17.0,12.0,3.0,14.0,15.0,51.0,0.0,0.24237880459860758,0.3292938579550512,0.4275240365447167,0.44976872214928654,0.5110542067877547,0.5082582306447301
106,17.0,12.0,3.0,14.0,14.0,0.0,0.0,0.24739679219477506,0.3207725908925491,0.4075474398643164,0.4257086991902213,0.5039018183005232,0.49203230441961865
107,17.0,12.0,3.0,14.0,17.0,34.0,0.0,0.259900794582538,0.5445932045080947,0.5541806744203212,0.5948459111852435,0.6629067332375822,0.6280020986274446
108,17.0,12.0,3.0,14.0,16.0,60.0,0.0,0.21123515475766463,0.4368199440569841,0.4897637714598488,0.5314141096652282,0.6247028923273336,0.5897595618804369
109,18.0,12.0,5.0,0.0,1.0,54.0,0.0,0.5970390966403495,0.0,0.0,0.0,0.0,0.0
110,18.0,12.0,5.0,0.0,0.0,63.0,0.0,0.32094003810720473,0.03901634605801878,0.07483886642344015,0.07184484136001172,0.08634065664782158,0.07274986463029207
111,18.0,12.0,5.0,0.0,3.0,0.0,0.0,0.17072009786914552,0.4098468844427141,0.38253756976331954,0.39960241250289324,0.48373361533617254,0.4117335708580185
112,18.0,12.0,5.0,0.0,2.0,9.0,0.0,0.17256051840371328,0.6864654221706542,0.6095312779697819,0.6687378471931648,0.6933163359705937,0.6789061515540604
113,18.0,12.0,5.0,0.0,5.0,0.0,0.0,0.17016681861669855,0.6499281942742039,0.6589374516747522,0.6916744236253031,0.7542010797786458,0.692675223198583
114,18.0,12.0,5.0,0.0,4.0,0.0,0.0,0.1797677781953955,0.7336882188318543,0.8685063766475455,0.8153727623698117,0.8344986439014286,0.8543280476353554
115,19.0,12.0,10.0,15.0,13.0,0.0,0.0,0.3120618342289682,0.32333377274074176,0.39350362347579243,0.41177985286830276,0.39459883861797307,0.41505146397048587
116,19.0,12.0,10.0,15.0,12.0,4.0,0.0,0.3192943903615226,0.3293915313594005,0.2861935239470326,0.33514834241188585,0.3137991480391473,0.34777555326142884
117,19.0,12.0,10.0,15.0,15.0,41.0,0.0,0.3102943370692779,0.35405812202599796,0.2736599387166863,0.3061511028240725,0.3086640372383095,0.32737777832696185
118,19.0,12.0,10.0,15.0,14.0,0.0,0.0,0.4086138227257604,0.23368777840018626,0.258014835178919,0.29932737486250305,0.28743597402100224,0.32734378793785024
119,19.0,12.0,10.0,15.0,17.0,40.0,0.0,0.25736560516713086,0.5596774360403595,0.39309781903006,0.4320231705288729,0.43390386151785926,0.48247372967320357
120,19.0,12.0,10.0,15.0,16.0,41.0,0.0,0.3175624865793521,0.313968474720605,0.2138542234286293,0.21996591567609444,0.22632125078234047,0.22993172108410556
121,20.0,12.0,0.0,10.0,7.0,15.0,1.0,0.3201363498146064,0.1110929066021629,0.18834780869195927,0.22618352552450804,0.1990225576582336,0.20449790238302845
122,20.0,12.0,0.0,10.0,6.0,20.0,1.0,0.26177826004031596,0.07243001207909457,0.136012772541415,0.16368375686009148,0.15363509416562768,0.16275808949607862
123,20.0,12.0,0.0,10.0,9.0,9.0,1.0,0.3168359294155251,0.09251896083937672,0.16198553781729877,0.21732773500681846,0.2160101460370951,0.23339081096583844
124,20.0,12.0,0.0,10.0,8.0,21.0,1.0,0.18998347021493261,0.15200472716333635,0.17120222874187796,0.2577935217986428,0.19237574171577498,0.2310992120369553
125,20.0,12.0,0.0,10.0,11.0,35.0,1.0,0.9486491159575591,0.08040963013060642,0.16006009835766397,0.21205733039092817,0.2171108267774628,0.21860595405758154
126,20.0,12.0,0.0,10.0,10.0,50.0,1.0,0.17379905783100486,0.18128829130847024,0.18188992130709664,0.2657415595802785,0.20798996975148626,0.26349012814973355
127,21.0,49.0,8.0,14.0,13.0,71.0,0.0,0.21464965510516046,0.2565750251276509,0.32008028296201874,0.35444341888816544,0.401927102942753,0.410758512470479
128,21.0,49.0,8.0,14.0,12.0,56.0,0.0,0.3050865910343938,0.053382161841430464,0.10309362817368507,0.1119377286802826,0.12113659775679674,0.16137283678648548
129,21.0,49.0,8.0,14.0,15.0,39.0,0.0,0.2166870985459197,0.09539692572550107,0.17983524900927486,0.16296260493611378,0.19854966030023705,0.24467315652133428
130,21.0,49.0,8.0,14.0,14.0,20.0,0.0,0.160386998121978,0.20693552869058948,0.22545959897432707,0.27414576145676056,0.3049549492820325,0.3241461892375842
131,21.0,49.0,8.0,14.0,17.0,13.0,0.0,0.24403255457404033,0.380848781474092,0.31935436144249324,0.4062766180927228,0.4649899627966526,0.43336189026443467
132,21.0,49.0,8.0,14.0,16.0,64.0,0.0,0.21139454834813123,0.27933059302894997,0.2751156415472662,0.34255690831072555,0.3875550332538164,0.43113438419837236
133,22.0,49.0,13.0,6.0,7.0,39.0,0.0,0.09573862366750206,0.11999628398583286,0.1683951076300236,0.2009461002173049,0.15976518476705975,0.23086127931317396
134,22.0,49.0,13.0,6.0,6.0,60.0,0.0,0.18572616252280116,0.17247496683703178,0.15190348163196266,0.20356101513647473,0.1872452987987624,0.2071353333116611
135,22.0,49.0,13.0,6.0,9.0,49.0,0.0,0.3366440895626996,0.07648530202704067,0.06982748854751605,0.13244240833879878,0.10991879573860427,0.1714600910391961
136,22.0,49.0,13.0,6.0,8.0,68.0,0.0,0.1538165119983874,0.31152975336133865,0.21053364477640288,0.2665323360959469,0.3544621178671367,0.31512441627617654
137,22.0,49.0,13.0,6.0,11.0,42.0,0.0,0.12589444075181988,0.03776451634610923,0.049156760994181946,0.0830785944124409,0.055471126381670115,0.11376525494341226
138,22.0,49.0,13.0,6.0,10.0,20.0,0.0,0.13609726836412497,0.04340382390968324,0.03532435591439453,0.09168640397584475,0.05874309364658405,0.1244827556805283
139,23.0,49.0,7.0,12.0,13.0,31.0,0.0,0.15647925978447286,0.46969278047482427,0.40972846770118554,0.46765490422210454,0.5040375941964859,0.4893204641793747
140,23.0,49.0,7.0,12.0,12.0,18.0,0.0,0.22044931030595738,0.300824682692029,0.4120552202127738,0.40735197919178645,0.4425336822278876,0.4316201426583945
141,23.0,49.0,7.0,12.0,15.0,4.0,0.0,0.14825543034620395,0.2948248152312333,0.38419615727225864,0.39165748257655925,0.42582892374952247,0.431076142455761
142,23.0,49.0,7.0,12.0,14.0,0.0,0.0,0.16473537733578217,0.29709703293476314,0.36467248958325604,0.38189553641512364,0.4175511679953845,0.4132236048124155
143,23.0,49.0,7.0,12.0,17.0,40.0,0.0,0.1516408804651977,0.44229096575295535,0.4839250999032473,0.5487357411895513,0.5665657463918041,0.5680371241259143
144,23.0,49.0,7.0,12.0,16.0,45.0,0.0,0.1865133356277534,0.39317529620822134,0.3967810426409241,0.4111453755755184,0.43799900539613634,0.43266476008684523
145,24.0,49.0,13.0,4.0,1.0,3.0,0.0,0.33828894584746333,0.6783120691899714,0.7432986694228385,0.7402305189081323,0.7500087561981822,0.7184212299582051
146,24.0,49.0,13.0,4.0,0.0,11.0,0.0,0.22968362450479846,0.600407778269081,0.6253978984522885,0.6151660187705611,0.5986015270684317,0.5686896780061184
147,24.0,49.0,13.0,4.0,3.0,72.0,0.0,0.1341704768348176,0.37570568676151517,0.432136627777688,0.40105317662361456,0.38413682651443226,0.38289878853518416
148,24.0,49.0,13.0,4.0,2.0,19.0,0.0,0.1857162607063313,0.4814633270474516,0.5334630679444191,0.487230896285937,0.4586906379104973,0.4783264017768312
149,24.0,49.0,13.0,4.0,5.0,52.0,0.0,0.12536345867679152,0.29937678918963545,0.2160422690682781,0.26485646828913334,0.17376867960228126,0.23983327925858916
150,24.0,49.0,13.0,4.0,4.0,58.0,0.0,0.1341156243720909,0.4188045680753208,0.39267127697711374,0.393633258419992,0.34899361364570936,0.39850876887561276
151,25.0,49.0,9.0,14.0,13.0,17.0,0.0,0.2811738018618943,0.4149887910140468,0.5367953312382736,0.5137781099442014,0.6053556730107907,0.5682958822183359
152,25.0,49.0,9.0,14.0,12.0,3.0,0.0,0.2990879822727515,0.35700790800181376,0.4281275324947515,0.4121497308138684,0.5207108992831697,0.5137042377681226
153,25.0,49.0,9.0,14.0,15.0,49.0,0.0,0.29428524553242547,0.7690407469966913,0.6532117667429028,0.62855914853484,0.730114861896741,0.7054123420103714
154,25.0,49.0,9.0,14.0,14.0,2.0,0.0,0.31990043570874577,0.4004372154926653,0.4525377664372424,0.5052599965379787,0.5423275873249849,0.5419886298491472
155,25.0,49.0,9.0,14.0,17.0,10.0,0.0,0.2693653517719407,0.6216750148952966,0.6544050739275521,0.662066663129323,0.7342200307604145,0.7122792474835804
156,25.0,49.0,9.0,14.0,16.0,70.0,0.0,0.26919094999647936,0.5875711002669323,0.6675682262452596,0.6567125190789133,0.7433099356439797,0.7073281219484315
157,26.0,49.0,12.0,16.0,13.0,25.0,0.0,0.18659255605692254,0.1884747841091025,0.21683945637503083,0.24451818838323183,0.22467032365602696,0.2599410003063562
158,26.0,49.0,12.0,16.0,12.0,14.0,0.0,0.1481366204056275,0.19108213958426734,0.2160993238048765,0.23908880833572546,0.22272431735018583,0.26364271920572274
159,26.0,49.0,12.0,16.0,15.0,11.0,0.0,0.18197332929704108,0.17916539018302394,0.24402459971461754,0.25608838835440434,0.2193176080159282,0.2762555402072717
160,26.0,49.0,12.0,16.0,14.0,21.0,0.0,0.270592150205233,0.2587266669800901,0.30377087421313104,0.3561808826604735,0.31801788119051466,0.3515641535970637
161,26.0,49.0,12.0,16.0,17.0,63.0,0.0,0.20671166577267772,0.23975885239485745,0.25903869751545394,0.27247170656553965,0.31215702410313506,0.3334068572780708
